"cod_cent";"id";"nombre";"tipo_elem";"x";"y"
"02026";3563;"(TACTICO) Alcalde Sainz Baranda E-O - Giro Izq, a Esplandiu";"URB";"443513.861447484";"4474419.96169488"
"02027";3724;"(TACTICO) Juan Esplandiu N-S - Entrada Alcalde Sainz Baranda";"URB";"443538.435724094";"4474393.84560994"
"02028";3725;"(TACTICO) Alcalde Sainz Baranda O-E - Giro Izq, a Vaquerias";"URB";"443475.853984039";"4474357.72576456"
"02029";3564;"(TACTICO) ALCALDE SAINZ BARANDA E-O(GIRO IZQ, A TORRESPANA)";"URB";"443814.144311777";"4474739.85275575"
"02030";3878;"(TACTICO) SALIDA TVE TORRESPANA S-N";"URB";"443796.983232589";"4474705.19960928"
"02031";3726;"Astros E-O - Cruz del Sur-Dr, Esquerdo(Giro Derecha)";"URB";"443250.299468136";"4473638.73178852"
"02032";3601;"Astros E-O - Cruz del Sur-Dr, Esquerdo(De Frente)";"URB";"443249.503549007";"4473631.74422862"
"02034";3880;"Estrella Polar E-O - Puente M-30 -Sirio";"URB";"443779.629373407";"4473583.7577585"
"02035";3881;"Sirio S-N - M-30 -Estrella Polar";"URB";"443653.597777112";"4473513.21739407"
"02036";3602;"Estrella Polar O-E - Pez Austral-Sirio";"URB";"443595.341051254";"4473592.350104"
"02037";3603;"Dr, Esquerdo N-S - Alcalde Sainz Baranda-Moneda";"URB";"443199.156493517";"4474159.35894156"
"02038";3882;"Dr, Esquerdo S-N - Moneda-Alcalde Sainz Baranda";"URB";"443203.297317932";"4473998.81714852"
"02039";3883;"Dr, Esquerdo N-S - Moneda-Samaria";"URB";"443183.470213282";"4473938.40835689"
"02040";3884;"Dr, Esquerdo S-N - Astros-Pez Volador";"URB";"443180.588751538";"4473669.7681346"
"02041";3885;"Dr, Esquerdo N-S - Av, Nazaret-Arias Montano";"URB";"443159.250012184";"4473598.15167834"
"02042";3886;"Dr, Esquerdo S-N - Estrella Polar-Astros";"URB";"443165.854873855";"4473478.54802926"
"02043";3887;"(TACTICO) ALCALDE SAINZ BARANDA E-O(GIRO A M-30)";"URB";"443906.036661032";"4474750.23901608"
"02044";3891;"Av, Ciudad Barcelona E-O - Gutenberg-Julian Gayarre";"URB";"442135.879561218";"4472901.49980366"
"02045";3892;"Av, Ciudad Barcelona O-E - Antonio Nebrija-Comercio";"URB";"442131.528085776";"4472893.18541482"
"02046";3893;"Av, Menendez Pelayo N-S - Granada-Av, Ciudad Barcelona)";"URB";"442264.660724713";"4472944.67233849"
"02047";3894;"Av, Ciudad Barcelona O-E - Juan Urbieta-Comercio";"URB";"442295.403815277";"4472816.9989673"
"02048";5072;"Dr, Esquerdo N-S - Valderribas-Av, Ciudad Barcelona";"URB";"442794.532529448";"4472614.85964144"
"02049";5073;"(AFOROS) Av, Ciudad Barcelona O-E - Catalina Suarez-Dr, Esquerdo";"URB";"442855.45044416";"4472429.94467759"
"02050";5074;"Av, Ciudad Barcelona O-E - Alberche-Pedro Bosch";"URB";"442644.678724634";"4472570.88944644"
"02051";3895;"(AFOROS) Av, Ciudad Barcelona E-O - El Cafeto-Seco";"URB";"442943.844978377";"4472358.97994159"
"02052";3896;"Seco S-N - Gandia - Av, Ciudad Barcelona";"URB";"442976.3718848";"4472264.16532239"
"02053";3897;"(TACTICO) Comercio N-S - Av Ciudad Barcelona -Tellez( Giro Izqd,)";"URB";"442172.151510438";"4472758.24133354"
"02054";3898;"Comercio S-N - Av, Ciudad Barcelona-Tellez";"URB";"442186.704876734";"4472778.56230304"
"02055";3899;"Av,  Mediterraneo E-O - Abtao-Pl, Mariano Cavia";"URB";"442657.604745335";"4473182.16470107"
"02056";3900;"Cavanilles E-O - Narciso Serra-Pl, Mariano Cavia";"URB";"442499.923619291";"4473130.67422552"
"02057";3901;"Menendez Pelayo S-N - Valderribas-Pl, Mariano Cavia";"URB";"442346.694448948";"4473092.90009028"
"02058";5080;"Reina Cristina O-E - Andres Torrejon-Gutenberg";"URB";"442168.182114747";"4473157.52030063"
"02059";3902;"Av, Mediterraneo E-O - Abtao-Juan Urbieta";"URB";"442774.469371036";"4473165.55545401"
"02060";3903;"(TACTICO) Dr, Esquerdo N-S - Cavanilles-Valderribas (Giro Izq,)";"URB";"442902.240290888";"4472750.81704421"
"02061";3904;"(TACTICO) Valderribas E-O - Sanchez Barcaiztegui-Dr,Esquerdo";"URB";"442861.974027871";"4472744.91731855"
"02062";3905;"Dr, Esquerdo N-S - Pl, Conde Casal-Cavanilles";"URB";"443019.855727791";"4472928.55075343"
"02063";3906;"(TACTICO) Garibay E-O - Adelfas- Dr, Esquerdo";"URB";"442989.640239435";"4472823.53582822"
"02064";3433;"Dr, Esquerdo S-N - Valderribas-Garibay";"URB";"442931.509753";"4472772.43894067"
"02065";3907;"Cavanilles O-E - Sanchez Barcaiztegui-Dr, Esquerdo";"URB";"442882.492267101";"4472885.88160368"
"02066";3908;"Cavanilles E-O - Abtao-Juan Urbieta";"URB";"442659.202833257";"4473038.09117119"
"02067";9981;"ALDE, SAINZ DE BARANDA O-E(JUAN ESPLANDIZ-T,V,E)";"URB";"443708.32859008";"4474702.74656837"
"02068";9980;"ALDE SAINZ BARANDA E-O(MARQUIS DE CORBERA- M-30)";"URB";"444003.62350735";"4474753.88580638"
"02069";9979;"ALDE SAINZ BARANDA E-O(GIRO A M-30)(MARQUIS CORBERA- M-30)";"URB";"444002.939468839";"4474748.41362101"
